#,Subject,Author,Status,Related issues,Description
24836,Option to disable file upload,Babu J,Closed,Is duplicate of #8168,How to restrict the file type upload in Redmine because the security team has raised an vulnerability 
24817,Files download log,Mehmet Aydemir,Closed,Is duplicate of #13798,"I want to view download log of uploaded files at project files. The log must be contains user, file and download time. "
24806,Possibility to hide Issue History from a role,Arnaud Pissot,Closed,Is duplicate of #12089,"Hello,

In my company we have a Redmine shared with some partners, we are working on projects with them to implement some features on our products for specific customers, etc.
We discuss with our partners in the History of the issue by adding notes and they respond.

Actually we want to give access (in restricted view, no edit) to our customers their projects but we don't want customers to see the discussion with our partner, so disable the Issue history for them.


Is it possible by any way to do it ?
I think it would be great to implement this in the ""Roles and permissions"" as there is already an option for hiding Wiki History to a role like in the screenshot attached.

Thanks !"
24792,support bulk update state of version.,Steven Wong,Closed,Is duplicate of #13315,"sometime I need to update the state of many version. Could redmine support bulk update the state of version. 

for example, I check some version and click one button to update the state of version."
24772,Set note as private is bulk edit mode,Pierre Maigne,Closed,Is duplicate of #22368,"Hello,

Sometimes, we want to add the same private note to multiple issues. Unfortunately, when you bulk edit issues, the checkbox to set the note as private is not present.

It would be good if we could set the private flag when using the bulk edit mode to add a note to multiple issues.

Thank you"
24764,Search in subprojects,Arnaud Pissot,Closed,Is duplicate of #9909,"Hello,

In my company we're actually using (recently) a project called ""Bugtrack"" which have different subprojects for different products/specific cases,
before adding new issues, support team have to perform a search to see if the bug hasn't been reported yet.

The actual problem is that we want to search on the main project ""Bugtrack"" to search in any subproject of this one but we can't.
A feature that allows with an option or whatever to search in a project and his subprojects would be very helpful to us !

Maybe other users are interested by this feature ?

Thank you !
Arnaud"
24677,Include in Subproject's filter a option 'is not',Clarice Pales,Closed,Is duplicate of #15773,A option 'is not' in Subproject's filter woud be a very helpful. The selection's shape current requires many actions that will replaced by this option. 
24636,All issues private - Setting by project,sachin jain,Closed,Is duplicate of #9432,"We have some projects which require the issues to be private, and others where it is desirable to have the issues public.

Is this something we can configure currently?(Redmine 3.3.1.stable)?

If not, what's the best way to implement this?

Thanks!!
"
24629,"Add option to decide default value for ""I don't want to be notified of changes that I make myself""",Rene H,Closed,"Related to #14574, Related to #21503, Is duplicate of #34787","It looks to me that the option *""I don't want to be notified of changes that I make myself""* is set by default, and there is no way to revert this.

This is specially an issue with users that get automatically created by the rdm-mailhandler.rb-script.

Please add an option either to settings->authentication->Default values for new users, or a parameter in the rdm-mailhandler.rb-script."
24585,Hide Members,Patrick P,Closed,Is duplicate of #7224,"Hey Guys,

it is possible to hide the ""Members"" container in project overview?


Thanks in advance"
24550,Open GANTT for more than 24months,Bastian Lüttig,Closed,Is duplicate of #14654,"Hi,

we have projects that run for more than 24months and it is necessary to print a gantt chart over the whole project.
I'd like to increase it.

I suppose, changes necessary are in:
lib/redmine/helpers/gantt.rb

line 68: replace 24 by any number you like. Maybe we can make this a setting?
Additionally, the PNG generation needs some adaptation to fit the entire sheet on one page (font size, month/year shortened to month/2-digit-year)"
24529,"change sort order for due date column on ""Issues assigned"" page",Jesús M. Navarro,Closed,Is duplicate of #6034,"As per message#49589, I'd want to see either default date sorting changed or the ability to set it on-demand.

If I'm requesting issues to be sorted by due date, it means due date is of importance to me, so issues with an assigned due date should be somehow highlighted over those without (i.e.: by sorting before).

Not having an assigned due date on an issue means I don't know/it doesn't matter and, again, known info should prevail over _""don't knows/doesn't matters""_.

Excluding in the query issues without due date may make sense sometimes but I can think of a lot of scenarios when it doesn't (i.e.: multifilter: I still want to see issues at critical priority sorted before any issues at normal priority, even if no due date is assigned to them).
An issue can have an implicit due date as long it has a target version assigned (that of the target version).

I can't think of an user case where things with no due date should be meaningfully presented before those with a due date when sorting ascending order.

So, in sorting by due date (ascending), I would expect issues sorted like this:
* 1/MAR/2016
* 2/MAR/2016
* no due date [or have it set to its target version's one and sort accordingly]
"
24438,Ability to add issue to a version within the roadmap,Christian Skjetne,Closed,Is duplicate of #5005,"So roadmaps is pretty good, but it would be nice to have the ability to add a issue regarding the version on the roadmap page itself. 

kinda like here

!https://dl.dropboxusercontent.com/s/ey644ee8ksf1ovz/2016-11-23%20at%2019.54.png!"
24319,Last assigned to option in the Assignee selection list,Luka Lüdicke,Closed,Is duplicate of #16045,"Very often in the flow of working on an issue you want to assign the issue to the last person which had the ticket.

My suggestion is that below the _<< me >_ option a second special option with the label
<pre>
<< last: account_anme >>
</pre>

should be added.

I call this ""giving back"" the _Ping Pong Feature_ ;-)


What do you think about this feature request?

We have working code in our plugin to implement this. It requires a change of the @principals_options_for_select@ application_helper and a method in the issue model which returns the id of the last assignee, based on the Journals.

and could implement a patch for this."
24286,Multiple Asignee ticket,Adam Liszkai,Closed,Is duplicate of #12579,"Currently Redmine can assign to user or group a ticket, but it would much usefull to assign multiple users or groups to a ticket (if it's enabled). At my company we don't have specified groups for each type of task and we creating groups on the fly when some issue are submited.

We dont want to create bunch of groups for the possible combinations because the ticketing system lack of an important feature, and this should be implemented into the core without use of a plugin."
24067,Total Estimated Time should be available on Totals options,Valdir Stiebe Junior,Closed,Is duplicate of #21450,"The _Total estimated time_ and _Total spent time_ are missing from the _Totals_ options on query filters. See the attached image.

This would be useful when working with subtasks grouped by target version. So we can sum the total estimated time on subtasks, not only directly estimated time.
As a workaround we are using the filter _Parent Task_ with the operator _Any_ to sum the subtasks estimated time.

Redmine 3.3.0 (bitnami install) here."
24065,Commit message shouldn't be rendered by Markdown or Textile,Sharuru Zhang,Closed,Related to #22758,"Hello, our team is using Redmine 3.30 and git as VCS.
GitExtension is the default git client.

Recently, we changed our project text formatting from Textile to Markdown, the problem happened:

*The commit message in 'Repository' will rendered as Markdown format as well.*

---
Reason:

When merging a branch in GitExtension, it will automatically generating a commit message like the following:

<pre>
# Conflicts:
#	path/to/conflict/file
#	path/to/conflict/file
#	path/to/conflict/file
</pre>

---

Compared with some other website(such as GitHub, Gitlab etc...)

They didn't treat these commit message as Markdown, just raw plain text.

---

Environment:
  Redmine version                3.3.0.stable
  Ruby version                   2.2.5-p319 (2016-04-26) [x86_64-linux]
  Rails version                  4.2.6
  Environment                    production
  Database adapter               Mysql2
SCM:
  Subversion                     1.8.10
  Mercurial                      3.1.2
  Bazaar                         2.7.0
  Git                            2.1.4
  Filesystem                     
Redmine plugins:
  no plugin installed




"
23973,One user - multiple LDAP backends,Michal Kalwig,Closed,"","Hello,

Is there a way to configure Redmine so that he will use 2 LDAP servers (2 DCs) in case of failure of first one? I am trying to create high availibility application but without this function I cannot ensure that. DCs must be also rebooted, patched etc.

Please let me know. I tried multiple ways: white space in field ""host"", dot, comma, semicolon. Nothing worked. Always error of:
<pre>
getaddrinfo: Temporary failure in name resolution
</pre>

I'm using Redmine 3.3.0.

Thanks in advance!

Michał"
23855,Target version filter should get an entry 'All open versions',Robert Schneider,Closed,"Related to #21577, Is duplicate of #23215","_This is my request #10412-20 as an own issue:_

The filter for target versions should also get another entry so I can choose all open versions with a single selection. This could be helpful if you consider that filters can be stored in queries."
23789,Enable External links,Luis Serrano Aranda,Closed,Is duplicate of #8734,"I think an interesting new feature is the enabling optional  of the External links in redmine.

It's a feature that is required in some projects"
23778,default sort email reminders by due date (and list due date in email),John Simmons,Closed,"Related to #6357, Related to #31225","I think this should be default behavior.  I've already written the code to do this, but I'm not sure how to get the code to you since the [contribute](http://www.redmine.org/projects/redmine/wiki/Contribute) page says not to use pull requests.  What is the preferred method of getting the code to you on github?  I see the link to creating patches on git, but I didn't really follow it.  Can someone give me a more detailed explanation?

I uploaded a file of what our email reminders look like now after the changes."
23747,Per-tracker Issue Categories,Luiz Moura,Closed,Is duplicate of #9306,"Redmine issue categories let you organize issues. Being able to auto-assign new issues to a specific user based on the chosen category is great.

But these categories are set for the whole project. What if these categories should apply to one specific tracker?

This plugin allows you to specify a tracker for each category. Making the issue category list shorter, the issue form is cleaner and it helps the user to avoid mistakes."
23739,"Add ability to ""Duplicate"" / ""Save as"" custom queries",Maxim Krušina,Closed,Is duplicate of #3319,"Now, when I want to add a new custom query, which should be based on an existing one with just some slight changes, there is no way how to duplicate and/or save as modified version as a new query"
23529,Calculate parent Issue's done ratio from subtasks in case of 'Use the issue status',Haihan Ji,Closed,Is duplicate of #6609,"Admin -> Settings -> Issue Tracking:
> Calculate the issue done ratio with => 'Use the issue status'
> Parent tasks attributes : % Done => Calculated from subtasks

If I set NEW is 0%, CLOSED is 100%.
When all subtasks are closed, the parent issue still is 0% (status is NEW).
But I hope it be 100%.

Can you add a switch? Force calculate the parent done ratio from subtasks?"
23493,Add group results by due date,Olivier Jacquet,Closed,Is duplicate of #13803,Currently it is not possible to group results by _due date_. For planning purposes this would be nice.
23491,Author name in mail from,Roman Belyakovsky,Closed,Is duplicate of #5913,"This feature was already discussed in #5913 and #2406 is but still missing in the current version. As it's the way ""github"":http://github.com issues notifications I've decided to push this patch.

<pre><code class=""diff"">
--- app/models/mailer.rb        (revision 15732)
+++ app/models/mailer.rb        (working copy)
@@ -438,7 +438,7 @@
             'X-Redmine-Site' => Setting.app_title,
             'X-Auto-Response-Suppress' => 'All',
             'Auto-Submitted' => 'auto-generated',
-            'From' => Setting.mail_from,
+            'From' => ""#{User.current.name} <#{Setting.mail_from}>"",
             'List-Id' => ""<#{Setting.mail_from.to_s.gsub('@', '.')}>""
 
     # Replaces users with their email addresses
</code></pre>"
23460,Changing the owner of an issue,Jess Nielsen,Closed,Is duplicate of #1739,"I would like a functionality to change the owner 
(creator) of an issue.

It would be neat if this functionality had its own
permisson flag instead of being part of the ""Edit Issue"".
Otherwise just include it in the ""Edit Issue"".


In many situations you create an issue on behalf of 
another and it would be neat if you could set the ownership 
to be the person whom you are creating it on behalf of.

Currently, I do it by changing the data directly 
in the database... :-/


BTW I have made a similar functionality in a customized 
version of Bugzilla and that functionality is very often 
used and really nice to have."
23434,Add hook to action_menu,Haihan Ji,Closed,Is duplicate of #3568,Please add hook to app/views/issues/_action_menu.html.erb
23403,Make default search scope configurable,Jan S,Closed,Is duplicate of #9909,"Right now the quick search box only searches the current project. In #22125 the person asking would like to have the default changed to ""current project + sub-projects"". I'd be interested in setting it to ""all projects"", while somebody else might like to set this to default to a specific project only.

SO I think it would be best if the admin could set the default scope of the quick search function from the admin backend."
23348,Values of version type custom fields should be grouped by project/subproject,Christophe Portier,Closed,Is duplicate of #15902,"Project B is a subproject of project A.

The available versions of project A are 1.0 and 1.1.
The available versions of project B are 1.0, 1.1 and 1.2.

All versions are shared with project tree.

Creating a new issue in project B, ""Target version"" field shows:
!TargetVersion.png!

""Found in version field"" shows:
!FoundInVersion.png!

It would be much better if ""Found in version"" values would be presented the same as ""Target version""."
23327,Visually mark closed subprojects on parent project page,Maxim Krušina,Closed,Is duplicate of #23152,"There is a list of subprojects on a parent project page. Thats absolutelly ok, but It would be nice to have some visual way to mark which are closed (different color, pictogram, etc.)."
23229,Email notification based on custom field value,Aniss El Amrani,Closed,Is duplicate of #10614,"Hi all,

Is there any way to define a custom field as a list of email + value ? and if the custom field value has changed in some issues an email is sent the corresponding email ?

eg : 
Custom field named GROUP with the following values:
email    | group name|
a@eg.com | g1        |
b@eg.com | g2        |
c@eg.com | g3        |


In the issue, we can select the group. When we select the group : g1, an email is sent to a@eg.com.

Is there any way to do this ?

Thanks for help.

Regards, 

Aniss"
23216,"Issues List, Enhanced Filtering - Allowing Multiple Queries & ""OR""-type constraints",James H,Closed,"Is duplicate of #4939, Is duplicate of #10999","Some of our biggest ""problems"" that causes us to look elsewhere for a solution are:

* there is no way to use an ""OR"" clause.
* there is no good way to search for multiple issues (its possible to select multiple trackers, statuses, etc. but it is not possible to select multiple subjects nor is it possible to define separate filters per selected filter (e.g. different assignee for each selected tracker) and other similar use cases).

-------

One proposed solution:
I think one of the ""more simple"" methods of adding this feature would be to add a way to define multiple sets of ""queries""/filters in one search:

Ex. you need to search for two types of issues at once. Tracker A that are assigned to Paul and Tracker B that are assigned to John. You need to see both of these side-by-side to be able to compare the due dates between the two and take action as needed.
You define your first ""query""/filter by filtering for Tracker: ""A"" and Assigned to: ""Paul"". After that, you click a ""+"" icon below the filter/options that adds another set of filter/options and you can define your second ""query""/filter by setting Tracker: ""B"" and Assigned to: ""John"". Click apply and it will run both queries, distinct & union the result set and display accordingly. The displayed columns would be shared between all issues.

This could also lead into some sort of combined custom query searching capability if that is something you guys want to explore.

----"
23211,"Issue filter menu should have different logical operators like ""AND"", ""OR"", ...",iransamin.ir sabasa,Closed,Is duplicate of #4939,"Filtering issues would be more helpful if the filter menu had different logical operators like ""AND"", ""OR"", ..."
23210,"""Updated by"" filter is needed",iransamin.ir sabasa,Closed,Is duplicate of #17720,"When filtering issues, it is very helpful to have a filter named: ""Updated by"" to list issues changed or updated by some team member(s)."
23079,Same Repository to differents projects,mole mole,Closed,Related to #9703,"If you want have the same repository in different projects you need to duplicate the data in mysql tables. It's a good feature if you can create a repository and you can associate to multiple projects.

Thanks"
22997,Administrative calendar,Haihan Ji,Closed,Is duplicate of #7079,"Not only Sat. and Sun don't work. For example.
2016-06-09 is the Dragon Boat Festival of China.
That mean's Chinese don't work from 2016-06-09 to 2016-06-11,
but they have to work at 2016-06-12 (Sunday).
So, I hope admin can set which non-workday need to convert workday , 
and which workday don't need work.
And make it effective In gantt view, or calculate workdays."
